date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:03:05	11693/11693	---M--	200	added ('OK')	text/css	etag:%2263e63b62-2dad%22	https://reghiumesports.gg/wp-content/plugins/topscorer-core/inc/core-dashboard/assets/css/core-dashboard.min.css?ver=6.5.5	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/topscorer-core/inc/core-dashboard/assets/css/core-dashboard.minadc6.css	(from https://reghiumesports.gg/)
18:03:07	556928/556928	---M--	200	added ('OK')	text/css	etag:%2265983857-87f80%22	https://reghiumesports.gg/wp-content/themes/topscorer/assets/css/main.min.css?ver=6.5.5	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/themes/topscorer/assets/css/main.minadc6.css	(from https://reghiumesports.gg/)
18:03:08	377461/377461	---M--	200	added ('OK')	text/css	etag:%2263e63b62-5c275%22	https://reghiumesports.gg/wp-content/plugins/topscorer-core/assets/css/topscorer-core.min.css?ver=6.5.5	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/topscorer-core/assets/css/topscorer-core.minadc6.css	(from https://reghiumesports.gg/)
18:03:08	667/667	---M-Z	200	added ('OK')	text/css	etag:%2229b-5ee0c549ac280-gzip%22	https://reghiumesports.gg/wp-content/themes/topscorer/style.css?ver=6.5.5	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/themes/topscorer/styleadc6.css	(from https://reghiumesports.gg/)
18:03:09	19777/19777	---M--	200	added ('OK')	text/css	etag:%22637cb142-4d41%22	https://reghiumesports.gg/wp-content/themes/topscorer/assets/plugins/swiper/swiper.min.css?ver=6.5.5	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/themes/topscorer/assets/plugins/swiper/swiper.minadc6.css	(from https://reghiumesports.gg/)
18:03:10	6940/6940	---M--	200	added ('OK')	text/css	etag:%226377c4ca-1b1c%22	https://reghiumesports.gg/wp-content/themes/topscorer/assets/plugins/magnific-popup/magnific-popup.css?ver=6.5.5	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/themes/topscorer/assets/plugins/magnific-popup/magnific-popupadc6.css	(from https://reghiumesports.gg/)
18:03:11	6792/6792	---M--	200	added ('OK')	text/css	etag:%22667e7951-1a88%22	https://reghiumesports.gg/wp-content/plugins/newsletter/style.css?ver=8.4.2	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/newsletter/styleb74b.css	(from https://reghiumesports.gg/)
18:03:13	458835/458835	---M--	200	added ('OK')	text/css	etag:%22667299be-70053%22	https://reghiumesports.gg/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=7.7.2	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/js_composer/assets/css/js_composer.min2922.css	(from https://reghiumesports.gg/)
18:03:13	22808/22808	---M--	200	added ('OK')	text/css	etag:%2263e647c5-5918%22	https://reghiumesports.gg/wp-content/uploads/smile_fonts/Defaults/Defaults.css?ver=3.19.19	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/uploads/smile_fonts/Defaults/Defaults04cd.css	(from https://reghiumesports.gg/)
18:03:14	13362/13362	---M--	200	added ('OK')	text/css	etag:%226530e63e-3432%22	https://reghiumesports.gg/wp-content/plugins/Ultimate_VC_Addons/assets/min-css/style.min.css?ver=3.19.19	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/Ultimate_VC_Addons/assets/min-css/style.min04cd.css	(from https://reghiumesports.gg/)
18:03:15	5666/5666	---M--	200	added ('OK')	text/css	etag:%226530e63e-1622%22	https://reghiumesports.gg/wp-content/plugins/Ultimate_VC_Addons/assets/min-css/video_module.min.css?ver=3.19.19	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/Ultimate_VC_Addons/assets/min-css/video_module.min04cd.css	(from https://reghiumesports.gg/)
18:03:16	87553/87553	---M--	200	added ('OK')	application/javascript	etag:%2265507ba6-15601%22	https://reghiumesports.gg/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-includes/js/jquery/jquery.minf43b.js	(from https://reghiumesports.gg/)
18:03:17	13577/13577	---M--	200	added ('OK')	application/javascript	etag:%2264d40e82-3509%22	https://reghiumesports.gg/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://reghiumesports.gg/)
18:03:18	15370/15370	---M--	200	added ('OK')	application/javascript	etag:%226675f84a-3c0a%22	https://reghiumesports.gg/wp-content/plugins/photo-gallery/booster/assets/js/circle-progress.js?ver=1.2.2	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/photo-gallery/booster/assets/js/circle-progress8d1e.js	(from https://reghiumesports.gg/)
18:03:19	9527/9527	---M--	200	added ('OK')	application/javascript	etag:%226675f84a-2537%22	https://reghiumesports.gg/wp-content/plugins/photo-gallery/booster/assets/js/global.js?ver=1.0.0	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/photo-gallery/booster/assets/js/global8a54.js	(from https://reghiumesports.gg/)
18:03:20	22221/22221	---M--	200	added ('OK')	application/javascript	etag:%226675f84a-56cd%22	https://reghiumesports.gg/wp-content/plugins/photo-gallery/js/jquery.sumoselect.min.js?ver=3.4.6	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/photo-gallery/js/jquery.sumoselect.min9bf7.js	(from https://reghiumesports.gg/)
18:03:21	4135/4135	---M--	200	added ('OK')	application/javascript	etag:%226675f84a-1027%22	https://reghiumesports.gg/wp-content/plugins/photo-gallery/js/tocca.min.js?ver=2.0.9	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/photo-gallery/js/tocca.minffdc.js	(from https://reghiumesports.gg/)
18:03:22	45479/45479	---M--	200	added ('OK')	application/javascript	etag:%226675f84a-b1a7%22	https://reghiumesports.gg/wp-content/plugins/photo-gallery/js/jquery.mCustomScrollbar.concat.min.js?ver=3.1.5	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/photo-gallery/js/jquery.mCustomScrollbar.concat.minc6bd.js	(from https://reghiumesports.gg/)
18:03:23	6341/6341	---M--	200	added ('OK')	application/javascript	etag:%226675f84a-18c5%22	https://reghiumesports.gg/wp-content/plugins/photo-gallery/js/jquery.fullscreen.min.js?ver=0.6.0	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/photo-gallery/js/jquery.fullscreen.mina307.js	(from https://reghiumesports.gg/)
18:03:25	192638/192638	---M--	200	added ('OK')	application/javascript	etag:%226675f84a-2f07e%22	https://reghiumesports.gg/wp-content/plugins/photo-gallery/js/scripts.min.js?ver=1.8.25	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/photo-gallery/js/scripts.min6fa1.js	(from https://reghiumesports.gg/)
18:03:25	1107/1107	---M--	200	added ('OK')	application/javascript	etag:%226530e644-453%22	https://reghiumesports.gg/wp-content/plugins/Ultimate_VC_Addons/assets/min-js/ultimate-params.min.js?ver=3.19.19	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/Ultimate_VC_Addons/assets/min-js/ultimate-params.min04cd.js	(from https://reghiumesports.gg/)
18:03:26	2492/2492	---M--	200	added ('OK')	application/javascript	etag:%226530e644-9bc%22	https://reghiumesports.gg/wp-content/plugins/Ultimate_VC_Addons/assets/min-js/video_module.min.js?ver=3.19.19	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/Ultimate_VC_Addons/assets/min-js/video_module.min04cd.js	(from https://reghiumesports.gg/)
18:03:28	74052/74052	---MC-	200	added ('OK')	application/json	date:Thu,%2011%20Jul%202024%2016:03:27%20GMT	https://reghiumesports.gg/wp-json/wp/v2/pages/68	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-json/wp/v2/pages/68.json	(from https://reghiumesports.gg/)
18:03:28	225759/225759	---MC-	200	added ('OK')	application/json	date:Thu,%2011%20Jul%202024%2016:03:28%20GMT	https://reghiumesports.gg/wp-json/	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-json/index.html	(from https://reghiumesports.gg/)
